iso3,year,u5mr,dtp3,mcv1,pol3,gdp_pc,health_exp_pc,fertility,female_secondary_enrollment,basic_water,basic_sanitation,physicians_per_1000
LSO,2020,66.3,93,90,96,918.5825747044472,96.84536743,2.846,NA,75.7168396878056,42.7284382834052,NA
LSO,2021,64,95,90,98,1066.5864514382265,115.81448364,2.769,NA,76.300316439538,44.0363729437393,NA
LSO,2022,62,92,84,65,1030.1258294775712,133.32562256,2.716,NA,76.8886585638557,45.3328485039477,0.235
LSO,2023,61.3,90,76,87,916.2829769838036,122.63982391,2.694,NA,77.481451488906,46.6178621737328,NA
LSO,2024,60,86,90,86,971.9077182482896,NA,2.664,NA,78.0789963759688,47.8913481422717,NA
MDG,2000,104.4,57,57,58,280.28290555964884,11.1882658,5.665,NA,36.4427561061797,3.82452281975997,NA
MDG,2001,99.8,60,59,60,319.28327823565746,13.13894939,5.528,NA,37.1365510037545,4.27623527366861,0.087
MDG,2002,95.6,62,61,61,304.9417773984449,15.02957344,5.412,NA,37.8285452576804,4.72902485932566,0.13
MDG,2003,91.6,66,65,65,352.62009584992484,17.64075851,5.329,NA,38.518227444298,5.18344484506749,0.141
MDG,2004,87.8,78,79,74,272.2007485885601,14.29298973,5.264,NA,39.2060328929428,5.63879503752012,0.149
MDG,2005,84.1,85,74,80,305.81207492438796,15.9498682,5.195,20.1245708465576,40.0429127960642,6.12117413127887,0.172
MDG,2006,80.8,85,71,83,324.14687488260375,16.44085503,5.133,22.5522499084473,40.878116387823,6.60626042533301,0.163
MDG,2007,77.6,84,81,83,419.54800143186503,19.33553123,5.083,24.8774700164795,41.7110487315334,7.09404608313975,0.173
MDG,2008,74.8,77,70,77,512.579800058444,20.91898537,5.043,26.9826602935791,42.5424880385146,7.58477414006482,0.178
MDG,2009,72.4,77,63,76,446.31523837059217,19.56957817,5.003,28.0163993835449,43.3700536128356,8.07809172690129,0.173
MDG,2010,70.3,70,66,70,450.00939164572554,21.13975906,4.896,NA,44.1945358943364,8.57423264106828,0.186
MDG,2011,68.6,73,62,73,506.16369155930926,22.88667488,4.737,33.6389503479004,45.0153822584225,9.07317377918647,0.137
MDG,2012,67.3,68,63,71,493.5111629042107,19.30151749,4.613,34.9519919864486,45.8324865165496,9.57497737668474,0.136
MDG,2013,66.4,70,64,72,515.3015893618319,19.33186913,4.527,NA,46.645311071975,10.0796108433394,0.146
MDG,2014,65.7,68,66,71,505.6849225034353,22.56570244,4.421,35.8271514538676,47.4541920353579,10.5872297277492,0.173
MDG,2015,65.3,62,60,68,445.3200694805675,22.29386139,4.335,36.2567596435547,48.258173464398,11.0976984755033,NA
MDG,2016,64.9,68,62,72,453.97071452246337,24.20793915,4.285,36.2822418212891,49.0575914521926,11.6111708038341,NA
MDG,2017,64.9,65,55,69,491.8668487189288,23.62072182,4.259,35.2360569008275,49.8519386234101,12.1276026442495,NA
MDG,2018,64.9,74,68,71,500.4571855291595,21.12731934,4.246,35.3710327591243,50.6411241447461,12.647045200372,0.195
MDG,2019,65,69,60,69,499.8188376225341,15.50084877,4.221,33.6142692093689,51.4242559942128,13.1693375483997,NA
MDG,2020,65.1,67,55,66,450.77161520150946,16.78295326,4.17,NA,52.2020747813196,13.6947390405503,NA
MDG,2021,65,55,43,55,483.46946335119475,17.17938805,4.104,35.2580222250234,52.9732968597974,14.2229663442332,NA
MDG,2022,64.5,57,44,55,503.5145334729596,15.85809231,4.036,NA,53.7386722482621,14.7542849047499,0.172
MDG,2023,63.6,65,51,63,508.7184277055908,17.44003487,3.972,NA,54.4969430342798,15.2883891812498,NA
MDG,2024,62.4,60,46,62,544.9875010033838,NA,3.912,NA,55.3389608321256,15.3671469967754,NA
MLI,2000,189.9,43,49,53,304.6528701942707,14.00473022,6.886,11.1826200485229,49.4074258741145,17.3336177697569,0.044
MLI,2001,183.9,49,54,56,346.2245542510219,13.15901566,6.852,NA,51.0043528727808,18.5366288294077,NA
MLI,2002,177.7,61,56,65,378.1916786282853,15.89499378,6.819,NA,52.6652852945174,19.7478525761063,NA
MLI,2003,171.7,63,57,67,441.91035847509494,18.76944542,6.783,13.8911600112915,54.3201164982467,20.9666083854735,NA
MLI,2004,165.8,69,63,70,495.00629468064545,21.72010231,6.741,15.979700088501,55.9690552417302,22.193273656424,0.055
MLI,2005,160.1,77,73,78,548.7303828427251,23.97353554,6.708,17.6681499481201,57.6096707559848,23.4264099806876,0.06
MLI,2006,154.6,78,68,79,586.9854155152636,26.93190002,6.677,19.1023693084717,59.2432791544715,24.6671660825145,0.057
MLI,2007,149.2,74,66,76,670.8533949734791,29.63545799,6.647,21.8998508453369,60.8678932754337,25.9143828499992,0.06
MLI,2008,144,74,71,74,767.1948389500897,33.21391678,6.624,24.2745304107666,62.4840069987377,27.1686715784898,0.063
MLI,2009,138.9,73,73,77,787.4825642873977,34.64731598,6.592,26.8929100036621,64.0894295059223,28.4286615146563,0.116
MLI,2010,133.8,73,78,77,797.151541135109,31.36436844,6.579,29.8736858622313,65.6825064344256,29.6932856424804,0.096
MLI,2011,128.8,66,72,72,938.292902583696,31.67968369,6.545,31.8513100718496,67.2626511406481,30.9622372812507,0.111
MLI,2012,123.9,65,67,65,872.506092465564,27.53120613,6.523,NA,68.8293224749943,32.2352227048023,0.101
MLI,2013,119.1,64,62,57,901.9209576448312,30.06661987,6.491,34.540257437417,70.3820228884165,33.5119596461235,0.113
MLI,2014,114.4,66,65,62,947.9150332883246,35.7261734,6.441,35.12660954853,71.9205681917845,34.7924079704944,0.097
MLI,2015,109.7,70,67,67,838.1198694010295,28.97842216,6.385,34.4988647258526,73.4442818917146,36.0760821566718,0.094
MLI,2016,105.1,76,70,72,872.4685871716532,27.58086205,6.319,34.1917935715776,74.9530465324724,37.3629585814102,0.117
MLI,2017,100.6,77,70,72,924.0575316922836,28.49467659,6.251,34.447973185326,76.4467561333581,38.6530201870083,0.113
MLI,2018,96.2,76,71,71,996.3792921369012,31.16962242,6.118,34.2633935963908,77.9248726503067,39.9458152875809,0.12
MLI,2019,91.9,77,71,71,971.9493186380917,31.4089489,5.892,NA,79.3875776496975,41.2415636688459,NA
MLI,2020,87.6,70,62,65,953.2429432909744,28.20211601,5.85,NA,80.8342374526546,42.5396302417606,NA
MLI,2021,83.6,77,72,69,1027.2734536535686,30.55883217,5.779,NA,82.2652506105548,43.8404477380485,NA
MLI,2022,79.7,75,69,75,976.914116406452,31.0949192,5.692,NA,83.6801195841677,45.1434215383033,0.191
MLI,2023,76.2,75,68,72,1043.9533853528012,33.9802475,5.614,37.1307560416794,85.0789328815907,46.4485840749361,0.188
MLI,2024,73,82,72,72,1094.6194926579924,NA,5.51,NA,86.3633567815443,47.7561676952566,NA
MOZ,2000,164.6,70,71,69,327.1262397915697,7.00877714,5.83,4.54680013656616,23.4410418674047,10.7368086528161,0.024
MOZ,2001,155.7,73,74,72,304.7921386219133,8.53719139,5.755,5.15360021591187,24.4482966648571,11.6891382934177,NA
MOZ,2002,147.5,76,77,76,313.88666172119804,10.00207806,5.667,6.49581003189087,25.8920562991607,12.6706023887281,NA
MOZ,2003,139.8,85,80,67,339.4887378006477,11.036607740000001,5.6,NA,27.3637062660651,13.6597206754492,NA
MOZ,2004,132.5,83,79,69,400.0569731615448,14.12452602,5.551,8.65153980255127,28.8635945459384,14.656791437849,0.026
MOZ,2005,125.7,80,78,71,436.77385616738417,18.40718079,5.5,10.5513401031494,30.391019323665,15.661495607588,NA
MOZ,2006,118.8,78,76,73,457.4876478331826,18.05057144,5.452,12.6779804229736,31.9468315696643,16.6744657730016,0.026
MOZ,2007,110.7,75,75,75,507.8749239143042,19.29700851,5.466,15.0729103088379,33.5293144441132,17.6947339130943,NA
MOZ,2008,104.4,75,77,74,592.1591111841216,24.48562622,5.598,17.2325000762939,35.2815210331491,18.8175728896395,NA
MOZ,2009,98.3,74,80,74,547.6971441936511,27.68954468,5.681,20.2017803192139,37.0713316939985,19.9603052560203,0.047
MOZ,2010,95.6,74,82,73,496.18583939265926,26.26061249,5.66,22.5305413242969,38.8870842432342,21.1157832994067,0.05
MOZ,2011,91.1,77,82,76,618.1764928678903,30.42516136,5.599,24.072161852572,40.7272349107275,22.2833615319123,0.054
MOZ,2012,86.5,80,83,79,685.6857481995128,35.24672699,5.518,24.0955956725326,42.5912317568362,23.4630594441157,0.056
MOZ,2013,82.9,82,83,81,686.505672517351,41.5031395,5.43,32.5833282470703,44.4785109091444,24.6548929254595,0.058
MOZ,2014,79.7,85,83,84,697.1426804441226,43.50259018,5.304,32.2183418273926,46.3885053370703,25.8588794084376,NA
MOZ,2015,75.8,85,83,84,610.5637747065892,40.35658646,5.245,32.985279083252,48.3206421640835,27.0750381576231,NA
MOZ,2016,73.3,85,83,84,441.4897348190715,31.85357285,5.188,NA,50.2743318960673,28.3033808340067,NA
MOZ,2017,72,85,83,84,470.9385630519602,36.75825882,5.128,35.2994499206543,52.2485430306556,29.5435460585168,0.077
MOZ,2018,70.2,85,83,84,517.5072602581007,41.29206467,5.07,NA,54.2431367591977,30.7959176592195,0.085
MOZ,2019,68.6,85,83,84,519.0925509136196,41.01906586,5.016,NA,56.2587719909351,32.0616645064997,0.086
MOZ,2020,67.6,71,73,75,462.4338764799215,34.92252731,4.959,NA,58.2943448564578,33.3404532645595,0.084
MOZ,2021,65.5,56,62,64,509.90782947555147,44.09894943,4.905,NA,60.34998629028,34.6331153020155,0.082
MOZ,2022,63.9,55,63,74,578.251663751351,47.69813538,4.84,NA,62.4237541540672,35.9385123672753,0.175
MOZ,2023,61.7,70,65,78,622.0002976828226,52.96166611,4.763,NA,64.5157588929919,37.257486002339,NA
MOZ,2024,59.4,70,65,78,656.7768246373056,NA,4.69,NA,66.6252441342671,38.5900804802051,NA
MRT,2000,98,51,46,58,680.9110618797781,23.00290108,5.456,15.1392002105713,41.4134230835058,18.1529733941699,NA
MRT,2001,93.4,75,58,75,651.8178401997768,23.28163338,5.407,17.7171096801758,42.3280271481034,19.3093273656577,NA
MRT,2002,88.2,89,87,91,648.8796439348624,25.96999741,5.373,17.8554096221924,43.8234469336447,20.5759918023257,NA
MRT,2003,82.8,76,84,75,732.0178208126755,29.51877594,5.364,19.2371807098389,45.328257924083,21.8519258918573,NA
MRT,2004,77.5,70,73,68,823.554457141893,31.47280884,5.374,20.1336193084717,46.8421748540114,23.1372199810227,0.109
MRT,2005,72.5,71,65,71,998.96583416747,34.00539017,5.376,20.7180900573731,48.3637496328725,24.4309798679279,NA
MRT,2006,68.1,68,62,68,1300.6036798865928,35.14922333,5.404,20.9435291290283,49.8930914741819,25.9997164897389,NA
MRT,2007,64.3,75,67,75,1405.1501620336849,40.41820145,5.426,NA,51.4299037180572,27.6037678904985,NA
MRT,2008,61.3,74,65,73,1635.5630623124007,49.2858696,5.436,17.1987209320068,52.9742769831922,29.2444593327866,NA
MRT,2009,58.8,64,59,63,1435.430108118934,44.64679718,5.406,17.876070022583,54.5236725907371,30.9205985186658,0.136
MRT,2010,56.8,64,67,52,1659.9636970545478,43.759655,5.384,18.2780303955078,56.0793137596393,32.634513910578,0.161
MRT,2011,55.1,75,67,73,1931.199755254651,47.77469254,5.38,20.1222400665283,57.6405391140785,34.3867695026877,NA
MRT,2012,53.5,80,75,80,1859.1173324764088,49.2515831,5.352,23.9687918780301,59.206705237902,36.1778963960657,NA
