iso3,year,u5mr,dtp3,mcv1,pol3,gdp_pc,health_exp_pc,fertility,basic_water,basic_sanitation,log_gdp_pc,log_health_exp_pc
CIV,2019,75.3,79,71,79,2141.7683617011467,68.30471039,4.523,75.6490184756229,35.8059580233634,7.669387104030771,4.22397873037731
CIV,2020,73,72,63,65,2179.7293483293465,78.97766876,4.461,75.9870680852305,36.7505613601134,7.6869559959331175,4.369165138583167
CIV,2021,70.8,73,65,71,2455.9812764114818,92.39588928,4.411,76.3229847618577,37.704616869195,7.806281665627013,4.526082489346316
CIV,2022,68.7,73,62,71,2333.3712830125887,84.89915466,4.349,76.6566348508061,38.6680398290793,7.755069403385333,4.441464136377272
CIV,2023,66.5,79,70,77,2591.965904811898,87.68105316,4.283,76.9878854497263,39.6407426651959,7.860171903377895,4.473705834532678
CMR,2000,143.9,62,49,57,708.5657316259653,30.438097,5.514,55.8213658801787,37.5661811000038,6.563242830587338,3.415695014613496
CMR,2001,141,63,51,61,715.4702964705854,29.82297325,5.441,56.6676381767761,37.7799954148968,6.572940083768003,3.3952790109389923
CMR,2002,137.6,66,53,66,789.6238110725543,31.79577446,5.435,57.4955566062435,37.9947075137207,6.671556643531556,3.4593334023406337
CMR,2003,134.3,73,61,72,988.2412767918462,38.56394196,5.432,58.3047768722943,38.3633336781567,6.895926875213321,3.652317693770403
CMR,2004,130.9,73,64,72,1133.3932674967289,42.25278473,5.436,59.0958722241739,38.736762781943,7.032971303623231,3.7436702624003946
CMR,2005,127.6,80,68,79,1142.624662521058,43.10830688,5.421,59.8676453814021,39.1141100533379,7.041083230619871,3.7637157135734944
CMR,2006,124.2,81,73,78,1191.4545899096834,44.52022934,5.369,60.6211512430006,39.4959944299355,7.0829301841127235,3.7959436777867084
CMR,2007,120.8,82,74,81,1325.672482159333,50.30911255,5.343,61.3565272358718,39.8824343932762,7.189675143373811,3.9181862247133794
CMR,2008,117.2,84,80,82,1492.142698014529,54.58909225,5.294,62.0739139861275,40.2734502147764,7.307968418291183,3.9998340871520224
CMR,2009,113.7,80,74,79,1461.3899923233655,51.14823914,5.236,62.7730584341751,40.6687438087427,7.287143311327214,3.9347280663896225
CMR,2010,109.5,84,79,83,1398.5870202504714,50.03335571,5.154,63.4545114882578,41.0686436848584,7.2432177346965085,3.9126898972063833
CMR,2011,105.2,81,76,80,1513.9605699487818,58.33031845,5.052,64.1180510058743,41.47285114669,7.322484390031293,4.066122000205469
CMR,2012,100.8,79,74,78,1449.0987436227924,56.96441269,4.982,64.7638368158669,41.8813685431632,7.278697086046321,4.042426734082009
CMR,2013,96.5,76,71,75,1575.9288211889684,57.22771454,4.905,65.3916897275554,42.2938755253473,7.362600105177693,4.047038300973942
CMR,2014,92.4,76,71,76,1649.443390594896,71.61038208,4.844,66.0018143956848,42.7103744161323,7.408193170949619,4.271240064572273
CMR,2015,88.5,76,71,75,1415.0000971056854,58.38298035,4.841,66.594406364624,43.1308620153925,7.254884878703262,4.067024414996504
CMR,2016,85.1,78,72,77,1441.7201725688024,57.99372482,4.842,67.1696687119462,43.555339313602,7.2735922439297225,4.06033481193454
CMR,2017,81.9,74,67,73,1496.089517712422,56.7457695,4.804,67.7271653530667,43.9831129823405,7.310609994787261,4.038581107327295
CMR,2018,78.9,68,61,68,1610.6964159101708,58.32909393,4.74,68.2677705308144,44.4148640176423,7.384421920918874,4.066101007128699
CMR,2019,76.6,67,61,68,1555.2266047647745,56.79493713,4.651,68.7910816912942,44.8498829146317,7.349376540533087,4.039447186719131
CMR,2020,74.4,68,63,68,1555.6037066074864,66.17185211,4.557,69.29764588045,45.2885112207418,7.349618985029773,4.192255177809068
CMR,2021,71.9,71,65,71,1672.3265734087215,72.59731293,4.468,69.787122797367,45.7300133468788,7.421971093596724,4.284927909162319
CMR,2022,69.4,71,68,62,1604.8772695489472,72.12950897,4.397,70.2600597493354,46.1747220268822,7.380802565069573,4.278463238922744
CMR,2023,67,75,71,74,1720.4751015450624,79.09996796,4.322,70.7167101481695,46.6226225275107,7.450355753493798,4.370712469716636
COD,2000,184.6,30,26,30,377.9254214813948,17.52071953,6.702,37.5495370732434,23.7477310886232,5.934696878485575,2.8633841537288616
COD,2001,178.4,30,34,29,142.67814260441207,5.4341011,6.663,37.5216314439844,23.2925757259411,4.960591342494632,1.6926941159102151
COD,2002,172.2,38,41,39,162.38052907429022,4.17578602,6.606,37.4846118447221,22.8409794207926,5.089942525676869,1.4293026088460465
COD,2003,165.9,42,48,45,161.4915535243958,6.03257608,6.549,37.4384405884601,22.3929738740922,5.0844528411364704,1.7971741301242201
COD,2004,159.4,54,57,51,180.6647649636327,7.83304834,6.53,37.3830762048941,21.9485957968142,5.196643186684584,2.0583517496924983
COD,2005,124.4,61,61,59,214.5397404735186,8.55065727,6.526,37.3204734649606,21.5079480867388,5.3684949914804685,2.1460081536782494
COD,2006,118.9,62,63,62,255.44522956875124,10.37645721,6.547,37.2515489023917,21.0891369417888,5.543008020984119,2.3395395102299292
COD,2007,113.8,65,64,64,294.1016151244193,11.5629034,6.559,37.1762282091892,20.6788073735842,5.6839253372974,2.4478019908785975
COD,2008,109.2,68,64,67,352.9003633719953,15.36659527,6.58,37.0934309203905,20.2769257473546,5.86618576035481,2.732196015119795
COD,2009,105,71,65,69,280.1789910357925,12.75762081,6.591,37.0040705646358,19.8835866395137,5.635428652632897,2.546128803634844
COD,2010,101.4,60,66,68,352.4003987546921,12.1423111,6.587,36.9070813122382,19.4987263873328,5.864768025601373,2.4966961381886077
COD,2011,98.3,70,66,65,372.5142738757892,11.89942932,6.582,36.8033581567191,19.1224518584775,5.9202753562150905,2.4764904426650225
COD,2012,95.9,71,69,69,409.93142478378354,13.20595551,6.559,36.691850585446,18.754668067258,6.015989889084486,2.580667902843488
COD,2013,94.1,71,68,71,460.37033493010705,15.37901688,6.527,36.5724802578576,18.3953621300218,6.132031241518356,2.7330040400578084
COD,2014,92.7,73,69,72,489.17595209731945,18.22281265,6.483,36.4456556153398,18.044594889942,6.192722244995011,2.9026742514874515
COD,2015,91.9,70,65,69,495.8266330148833,18.57252884,6.437,36.3108122967194,17.7022823048892,6.206226335413076,2.921683544876109
COD,2016,91.5,70,63,66,459.7650365903877,19.3114109,6.392,36.1678765737664,17.3684018777428,6.130715568964582,2.9606961595402814
COD,2017,91.5,71,65,71,431.05255912878806,18.14648819,6.349,36.016305001478,17.0428367247806,6.066230029603368,2.8984770538353417
COD,2018,91.7,71,64,72,518.1696268753709,17.29077148,6.302,35.8564891827066,16.7256345274003,6.250302653664887,2.8501729187113236
COD,2019,92.2,73,65,74,504.00419142285995,19.20812035,6.253,35.6878940308452,16.416662028181,6.222584584351987,2.9553331245178156
COD,2020,92.7,70,62,72,486.4255726822558,20.5593071,6.206,35.5104494105668,16.1158651582213,6.187083904685741,3.023313738657193
COD,2021,92.9,65,55,65,595.743074403567,21.58848572,6.156,35.3236207810538,16.1461710925268,6.389809490906777,3.0721601040400652
COD,2022,92.5,65,56,66,687.7385875546851,24.3800106,6.106,35.1273466119185,16.1744730669276,6.533408805780686,3.1937635588356397
COD,2023,91.3,60,52,61,660.2120523899703,23.43148804,6.051,35.4034461859588,16.2386817602994,6.492561074917365,3.154080760532904
COG,2000,112.5,33,34,31,1024.3015910918073,17.35089302,4.724,58.3988116212173,11.9201113215231,6.931766284786794,2.853643975961659
COG,2001,109.3,31,35,32,854.5983144080948,20.303905489999998,4.67,58.6923918261786,11.9684717452745,6.75063155083271,3.0108132562133654
COG,2002,104.6,41,37,41,905.5381355447043,16.99031258,4.697,59.1842225873936,12.2942562189499,6.80852939189186,2.8326433333957084
COG,2003,98.9,50,50,50,1016.8236341214334,21.51475716,4.696,59.6736944537537,12.623677389001,6.92443896323359,3.0687390792178006
COG,2004,92.3,67,65,67,1306.1013632459944,27.50056839,4.69,60.6181552928178,13.081524943127,7.174801920336085,3.314206673186203
COG,2005,85.7,63,54,62,1799.0515836615414,30.90304375,4.669,61.5609564350404,13.5511098859657,7.495014907058934,3.4308546822888206
COG,2006,79.5,74,61,73,2103.5821381210976,35.94208145,4.651,62.5017877997765,14.0325360521402,7.651396950578691,3.581908794258284
COG,2007,73.9,73,59,71,2206.4710186341385,41.96711731,4.649,63.4409103501595,14.526041670099,7.699149694081824,3.736886390450035
COG,2008,69.2,80,69,77,2832.0917777764325,63.41820908,4.726,64.3791200953514,15.0320398597223,7.948770861695434,4.14975102967016
COG,2009,65.3,80,63,76,2271.1521917596647,48.65313721,4.808,65.3159834381157,15.5506904084731,7.728042555166018,3.8847162918561122
COG,2010,62.4,76,75,72,2946.557980677078,54.56225586,4.851,66.2515975807208,16.0823108780158,7.988392981897727,3.999342359088092
COG,2011,60,83,83,72,3396.16505817952,59.51348114,4.826,67.1844431261946,16.6267539486772,8.130402149954334,4.086202860669134
COG,2012,57.9,85,80,68,3732.327373203891,71.2766571,4.785,68.1146295030684,17.1843319193312,8.22478727869983,4.266568883914653
COG,2013,56.2,85,80,69,3697.417058842495,71.85824585,4.731,69.0417229915666,17.7552084772419,8.215389762647762,4.2746953707278115
COG,2014,54.5,90,80,77,3601.236580871796,71.03118896,4.665,69.9648050667042,18.3393600656814,8.189032560150018,4.263119061712368
COG,2015,52.7,80,80,68,2439.351894036956,57.30290604,4.607,70.8834804766701,18.9369281667441,7.799487665806783,4.048351338665036
COG,2016,51,71,67,61,2093.107285588428,54.3000145,4.546,71.7973477617,19.5480521293593,7.646404980371864,3.9945244939748448
COG,2017,49.3,69,70,60,2211.633098747971,52.29982376,4.496,72.7060273572944,20.1728789551264,7.701486480325731,3.9569930012755243
COG,2018,47.6,75,75,68,2694.4341319142677,47.310215,4.442,72.9020532045187,20.2685707874205,7.898943491691298,3.856726234126495
COG,2019,52.2,79,73,73,2488.424667249158,58.42106628,4.38,73.0980812765278,20.3642632516174,7.819405125487231,4.067676548761534
COG,2020,44.5,73,68,69,1993.5866719310015,80.09735107,4.329,73.2936799973637,20.4597460251332,7.597690643142918,4.3832427832403384
COG,2021,43,77,68,74,2516.1625514543157,78.60149384,4.28,73.4884211673414,20.5548099594917,7.830490222829693,4.3643907048525215
COM,2000,79.9,70,70,70,633.3090327762441,47.59479904,5.227,87.3387610880315,24.4251137817351,6.450958506449634,3.862723491402097
COM,2001,76.8,70,70,70,681.1638576199628,45.34629059,5.195,87.5288111586306,26.1545650647282,6.523802890451961,3.8143283780668975
COM,2002,73.8,89,71,98,764.6134983254302,51.12159729,5.155,87.4264757809148,27.7107884685143,6.639370475207226,3.934207055473155
COM,2003,71,80,67,80,959.691049354812,63.91786194,5.115,87.322688934515,29.2480866735385,6.86661140907682,4.157598851899841
COM,2004,68.3,76,76,73,1072.2840902962091,70.61806488,5.065,87.2174998697346,30.7668527595674,6.977546316126578,4.257285988255643
COM,2005,65.8,68,67,67,1105.7879686678848,67.80059814,5.012,87.1113174713824,32.2696522597859,7.008313453638353,4.216571017031329
COM,2006,63.4,69,66,69,1138.4790840434505,65.72916412,4.934,87.0042522799134,33.75605986205,7.0374485138316984,4.1855427253225725
COM,2007,61.2,75,65,75,1289.7363105636107,69.87202454,4.859,86.8964208746241,35.2256531986229,7.162193066045256,4.2466653479567915
COM,2008,59.2,81,76,81,1455.0276859558574,73.75498962,4.805,86.7879033627296,36.6778613088967,7.282780207572915,4.300748648795781
