iso3,year,physicians_per_1000
BDI,2011,0.037
BDI,2012,0.049
BDI,2013,0.053
BDI,2014,0.056
BDI,2015,0.046
BDI,2016,NA
BDI,2017,0.094
BDI,2018,0.094
BDI,2019,NA
BDI,2020,0.069
BDI,2021,0.076
BDI,2022,0.078
BDI,2023,NA
BDI,2024,NA
BEL,2000,2.829
BEL,2001,2.849
BEL,2002,2.859
BEL,2003,2.857
BEL,2004,2.868
BEL,2005,2.871
BEL,2006,2.886
BEL,2007,2.905
BEL,2008,2.921
BEL,2009,2.92
BEL,2010,2.909
BEL,2011,2.915
BEL,2012,2.933
BEL,2013,3.131
BEL,2014,3.16
BEL,2015,3.221
BEL,2016,3.28
BEL,2017,3.292
BEL,2018,3.355
BEL,2019,3.424
BEL,2020,3.506
BEL,2021,3.537
BEL,2022,3.574
BEL,2023,NA
BEL,2024,NA
BEN,2000,NA
BEN,2001,NA
BEN,2002,NA
BEN,2003,NA
BEN,2004,0.038
BEN,2005,NA
BEN,2006,NA
BEN,2007,NA
BEN,2008,0.059
BEN,2009,NA
BEN,2010,0.052
BEN,2011,0.054
BEN,2012,NA
BEN,2013,NA
BEN,2014,NA
BEN,2015,NA
BEN,2016,0.045
BEN,2017,NA
BEN,2018,0.073
BEN,2019,0.06
BEN,2020,NA
BEN,2021,0.205
BEN,2022,0.19
BEN,2023,0.216
BEN,2024,NA
BFA,2000,NA
BFA,2001,0.04
BFA,2002,NA
BFA,2003,NA
BFA,2004,0.052
BFA,2005,NA
BFA,2006,NA
BFA,2007,NA
BFA,2008,0.031
BFA,2009,0.043
BFA,2010,0.044
BFA,2011,0.037
BFA,2012,0.046
BFA,2013,0.045
BFA,2014,0.047
BFA,2015,0.063
BFA,2016,0.062
BFA,2017,0.082
BFA,2018,0.082
BFA,2019,0.091
BFA,2020,0.096
BFA,2021,0.101
BFA,2022,0.148
BFA,2023,NA
BFA,2024,NA
BGD,2000,NA
BGD,2001,0.238
BGD,2002,NA
BGD,2003,0.26
BGD,2004,0.269
BGD,2005,0.296
BGD,2006,0.305
BGD,2007,0.317
BGD,2008,0.33
BGD,2009,0.343
BGD,2010,0.352
BGD,2011,0.373
BGD,2012,0.39
BGD,2013,0.412
BGD,2014,0.478
BGD,2015,0.476
BGD,2016,0.489
BGD,2017,0.535
BGD,2018,0.573
BGD,2019,0.63
BGD,2020,0.661
BGD,2021,0.677
BGD,2022,0.717
BGD,2023,0.722
BGD,2024,NA
BGR,2000,3.441
BGR,2001,3.429
BGR,2002,3.522
BGR,2003,3.604
BGR,2004,3.537
BGR,2005,3.661
BGR,2006,3.676
BGR,2007,3.675
BGR,2008,3.643
BGR,2009,3.733
BGR,2010,3.747
BGR,2011,3.838
BGR,2012,3.868
BGR,2013,3.953
