iso3,year,gdp_pc
SRB,2008,7376.735179107163
SRB,2009,6414.044846384702
SRB,2010,5970.9266094007235
SRB,2011,7082.286166607503
SRB,2012,6263.040860728149
SRB,2013,7040.418120687808
SRB,2014,6886.67809068704
SRB,2015,5820.321557688796
SRB,2016,5982.370301264708
SRB,2017,6548.036538241869
SRB,2018,7559.861657473944
SRB,2019,7755.632986436999
SRB,2020,8098.7095566884855
SRB,2021,9680.527980744677
SRB,2022,10024.819111259634
SRB,2023,12281.707946166955
SRB,2024,13679.206598355697
SSA,2000,684.2792339951183
SSA,2001,638.1427869987555
SSA,2002,681.5449348377551
SSA,2003,837.7145825747664
SSA,2004,1013.7340215766244
SSA,2005,1174.6311605487451
SSA,2006,1349.88715192875
SSA,2007,1518.8219699938982
SSA,2008,1672.7198350868623
SSA,2009,1545.1157789207848
SSA,2010,1789.3437421340172
SSA,2011,1958.0810541972469
SSA,2012,1970.2374575660551
SSA,2013,2035.6357163653522
SSA,2014,2058.4331234678953
SSA,2015,1763.27463036367
SSA,2016,1545.279482912652
SSA,2017,1641.3923995743926
SSA,2018,1718.4234609844834
SSA,2019,1907.2249943638708
SSA,2020,1716.5086386142675
SSA,2021,1885.4815596590277
SSA,2022,1963.803300323743
SSA,2023,1750.1313683694618
SSA,2024,1576.6916687519144
SSD,2000,NA
SSD,2001,NA
SSD,2002,NA
SSD,2003,NA
SSD,2004,NA
SSD,2005,NA
SSD,2006,NA
SSD,2007,NA
SSD,2008,1654.2115354655461
SSD,2009,1323.220687478618
SSD,2010,1498.2703498519422
SSD,2011,1448.9843500640816
SSD,2012,1109.2605008340763
SSD,2013,1650.1894335352792
SSD,2014,1242.7345018103244
SSD,2015,1080.1471862476544
SSD,2016,NA
SSD,2017,NA
SSD,2018,NA
SSD,2019,NA
SSD,2020,NA
SSD,2021,NA
SSD,2022,NA
SSD,2023,NA
SSD,2024,NA
SSF,2000,629.5297316133174
SSF,2001,587.3970485707395
SSF,2002,625.4689944118525
SSF,2003,766.5008429300018
SSF,2004,926.4354998200066
SSF,2005,1073.529774031812
SSF,2006,1234.133400095308
SSF,2007,1390.5886507496234
SSF,2008,1536.6676313717444
SSF,2009,1426.9691691994853
SSF,2010,1642.6413419359576
SSF,2011,1795.4381485631563
SSF,2012,1817.3012581663324
SSF,2013,1879.5587312692046
SSF,2014,1906.7959697101692
SSF,2015,1646.4494113931642
SSF,2016,1455.035253045712
SSF,2017,1546.917741993232
SSF,2018,1620.5414080591913
SSF,2019,1795.5612786553966
SSF,2020,1627.3456959629716
SSF,2021,1785.4666491661435
SSF,2022,1865.1163526069874
SSF,2023,1680.779666722183
SSF,2024,1532.9276355020681
SST,2000,4846.982126178112
SST,2001,4839.487178286426
SST,2002,5133.132245922484
SST,2003,6060.640340854274
SST,2004,6954.010908264182
SST,2005,7779.765881340999
SST,2006,8649.72106282857
SST,2007,10056.357483599171
SST,2008,10974.892203873098
SST,2009,9296.644408654807
SST,2010,9813.583195837573
SST,2011,10893.629836985408
SST,2012,10844.520758575582
SST,2013,11132.360216591498
SST,2014,11413.589286302204
SST,2015,10446.85034190702
SST,2016,10486.216109490262
SST,2017,11304.505081087776
SST,2018,12057.78858118301
SST,2019,11990.467099646517
SST,2020,10723.093901860955
SST,2021,12428.608767454361
SST,2022,13636.466119078703
SST,2023,14346.320278339568
SST,2024,15383.34256386739
STP,2000,529.0893834122617
STP,2001,518.88050130005
STP,2002,568.1025725227101
STP,2003,663.6962118104944
STP,2004,726.5608821304438
STP,2005,844.1691818842738
STP,2006,861.9707076976637
STP,2007,878.8857919187451
STP,2008,1081.868458472896
STP,2009,1128.2804621330542
STP,2010,1045.2095823452787
STP,2011,1219.801890896708
STP,2012,1192.0202911189003
STP,2013,1382.5757842916
STP,2014,1489.67633417608
STP,2015,1298.1094659639627
STP,2016,1434.8701805052076
STP,2017,1555.794778128885
STP,2018,1825.5997175396567
STP,2019,1935.2931816595997
STP,2020,2167.220017969252
STP,2021,2362.5882724810217
STP,2022,2389.7372978473672
STP,2023,2990.6606143534955
STP,2024,3490.5688348655713
SUR,2000,1988.2217292543257
SUR,2001,1714.648466372421
SUR,2002,2202.3406821960007
SUR,2003,2516.1040402095623
SUR,2004,2887.7721728843953
SUR,2005,3453.428659377645
SUR,2006,5002.657986957588
SUR,2007,5530.176156383091
SUR,2008,6576.085463072488
SUR,2009,7129.576862629098
SUR,2010,7943.604828169148
SUR,2011,7949.888672183829
SUR,2012,8851.240506689084
SUR,2013,9043.192815292216
SUR,2014,9108.189054067641
SUR,2015,8813.61705392067
SUR,2016,5644.2061057531955
SUR,2017,6049.521285536751
SUR,2018,6665.741804722391
SUR,2019,6629.667752486033
SUR,2020,4755.392217106932
SUR,2021,5029.848385439529
SUR,2022,6084.438767364452
SUR,2023,5521.97602122638
SUR,2024,6961.789559615257
SVK,2000,5421.6448441887
SVK,2001,5712.47802761654
SVK,2002,6554.628083694613
SVK,2003,8675.396336964648
SVK,2004,10650.129009712562
SVK,2005,11641.54103217625
SVK,2006,13167.89547303789
SVK,2007,16110.48172652373
SVK,2008,18744.31922783459
SVK,2009,16586.752780522773
SVK,2010,16899.448680528953
SVK,2011,18469.43543168364
SVK,2012,17516.969105407792
SVK,2013,18312.780514982347
SVK,2014,18770.9289896545
SVK,2015,16442.07608600175
SVK,2016,16636.076913307334
SVK,2017,17645.529871676117
SVK,2018,19573.37170313141
SVK,2019,19406.058968358197
SVK,2020,19735.485828080054
SVK,2021,22123.334211454523
SVK,2022,21317.794398236263
SVK,2023,24614.87346427939
SVK,2024,25992.674850204778
SVN,2000,10135.721910921158
SVN,2001,10375.625586986062
SVN,2002,11639.129778047698
SVN,2003,14711.674874253047
SVN,2004,17103.82977839046
SVN,2005,17969.70959071607
SVN,2006,19563.005059144023
SVN,2007,23725.159600151535
