iso3,year,basic_water
CIV,2024,77.2470593822361
CMR,2000,55.8213658801787
CMR,2001,56.6676381767761
CMR,2002,57.4955566062435
CMR,2003,58.3047768722943
CMR,2004,59.0958722241739
CMR,2005,59.8676453814021
CMR,2006,60.6211512430006
CMR,2007,61.3565272358718
CMR,2008,62.0739139861275
CMR,2009,62.7730584341751
CMR,2010,63.4545114882578
CMR,2011,64.1180510058743
CMR,2012,64.7638368158669
CMR,2013,65.3916897275554
CMR,2014,66.0018143956848
CMR,2015,66.594406364624
CMR,2016,67.1696687119462
CMR,2017,67.7271653530667
CMR,2018,68.2677705308144
CMR,2019,68.7910816912942
CMR,2020,69.29764588045
CMR,2021,69.787122797367
CMR,2022,70.2600597493354
CMR,2023,70.7167101481695
CMR,2024,71.410178711283
COD,2000,37.5495370732434
COD,2001,37.5216314439844
COD,2002,37.4846118447221
COD,2003,37.4384405884601
COD,2004,37.3830762048941
COD,2005,37.3204734649606
COD,2006,37.2515489023917
COD,2007,37.1762282091892
COD,2008,37.0934309203905
COD,2009,37.0040705646358
COD,2010,36.9070813122382
COD,2011,36.8033581567191
COD,2012,36.691850585446
COD,2013,36.5724802578576
COD,2014,36.4456556153398
COD,2015,36.3108122967194
COD,2016,36.1678765737664
COD,2017,36.016305001478
COD,2018,35.8564891827066
COD,2019,35.6878940308452
COD,2020,35.5104494105668
COD,2021,35.3236207810538
COD,2022,35.1273466119185
COD,2023,35.4034461859588
COD,2024,35.6813611952254
COG,2000,58.3988116212173
COG,2001,58.6923918261786
COG,2002,59.1842225873936
COG,2003,59.6736944537537
COG,2004,60.6181552928178
COG,2005,61.5609564350404
COG,2006,62.5017877997765
COG,2007,63.4409103501595
COG,2008,64.3791200953514
COG,2009,65.3159834381157
COG,2010,66.2515975807208
COG,2011,67.1844431261946
COG,2012,68.1146295030684
COG,2013,69.0417229915666
COG,2014,69.9648050667042
COG,2015,70.8834804766701
COG,2016,71.7973477617
COG,2017,72.7060273572944
COG,2018,72.9020532045187
COG,2019,73.0980812765278
COG,2020,73.2936799973637
COG,2021,73.4884211673414
COG,2022,NA
COG,2023,NA
COG,2024,NA
COL,2000,90.9190300374548
COL,2001,91.2370228033185
COL,2002,91.5497229084839
COL,2003,91.857192440764
COL,2004,92.1592296058929
COL,2005,92.4559019256854
COL,2006,92.7472892906741
COL,2007,93.0332113422634
COL,2008,93.314014699102
COL,2009,93.5897587496726
COL,2010,93.860299409895
COL,2011,94.125708214804
COL,2012,94.3863166731145
COL,2013,94.6419721075512
COL,2014,94.8927542496252
COL,2015,95.1389846235131
COL,2016,95.3807152978726
COL,2017,95.6178346039203
COL,2018,95.8504284105736
COL,2019,96.0785830726848
COL,2020,96.3025836876793
COL,2021,96.5223081416627
COL,2022,96.7380353192518
COL,2023,96.9496589659827
COL,2024,97.0965711084738
COM,2000,87.3387610880315
COM,2001,87.5288111586306
COM,2002,87.4264757809148
COM,2003,87.322688934515
COM,2004,87.2174998697346
COM,2005,87.1113174713824
COM,2006,87.0042522799134
COM,2007,86.8964208746241
COM,2008,86.7879033627296
COM,2009,86.6788340551763
COM,2010,86.5693640440455
COM,2011,86.4595303039768
COM,2012,86.3494754574658
COM,2013,86.2393591823008
COM,2014,86.1291911979684
COM,2015,86.0191792490847
COM,2016,85.9094298430236
COM,2017,85.8000023194019
COM,2018,85.6910036830202
COM,2019,85.582654605357
COM,2020,85.4750115485724
COM,2021,85.368182871054
COM,2022,85.2623417962655
COM,2023,85.1575256557465
COM,2024,85.0539278589302
CPV,2000,79.3677594529209
CPV,2001,79.6627777965322
CPV,2002,79.9527732071617
CPV,2003,80.2372000142623
CPV,2004,80.6602617486896
CPV,2005,81.0817210123183
CPV,2006,81.5021226151102
CPV,2007,81.920929167246
CPV,2008,82.3386902741848
CPV,2009,82.754314077093
CPV,2010,83.1663318440796
CPV,2011,83.522244248535
CPV,2012,83.8774934810221
CPV,2013,84.2318960930689
CPV,2014,84.5854646017969
CPV,2015,84.9382015962204
CPV,2016,85.581322426682
CPV,2017,86.333068742186
CPV,2018,87.0755452684611
