iso3,year,dtp3
BEN,2020,70
BEN,2021,70
BEN,2022,69
BEN,2023,69
BEN,2024,63
BFA,2000,45
BFA,2001,62
BFA,2002,69
BFA,2003,79
BFA,2004,79
BFA,2005,82
BFA,2006,86
BFA,2007,89
BFA,2008,93
BFA,2009,92
BFA,2010,91
BFA,2011,91
BFA,2012,90
BFA,2013,88
BFA,2014,91
BFA,2015,91
BFA,2016,91
BFA,2017,91
BFA,2018,91
BFA,2019,91
BFA,2020,91
BFA,2021,91
BFA,2022,91
BFA,2023,91
BFA,2024,91
BGD,2000,82
BGD,2001,85
BGD,2002,83
BGD,2003,87
BGD,2004,99
BGD,2005,93
BGD,2006,94
BGD,2007,94
BGD,2008,96
BGD,2009,97
BGD,2010,94
BGD,2011,96
BGD,2012,94
BGD,2013,96
BGD,2014,97
BGD,2015,98
BGD,2016,98
BGD,2017,98
BGD,2018,98
BGD,2019,98
BGD,2020,97
BGD,2021,97
BGD,2022,97
BGD,2023,97
BGD,2024,97
BGR,2000,93
BGR,2001,94
BGR,2002,93
BGR,2003,96
BGR,2004,95
BGR,2005,96
BGR,2006,95
BGR,2007,95
BGR,2008,95
BGR,2009,94
BGR,2010,94
BGR,2011,95
BGR,2012,95
BGR,2013,95
BGR,2014,88
BGR,2015,91
BGR,2016,92
BGR,2017,92
BGR,2018,92
BGR,2019,93
BGR,2020,91
BGR,2021,89
BGR,2022,91
BGR,2023,92
BGR,2024,94
BHR,2000,97
BHR,2001,99
BHR,2002,98
BHR,2003,97
BHR,2004,98
BHR,2005,98
BHR,2006,98
BHR,2007,97
BHR,2008,97
BHR,2009,98
BHR,2010,99
BHR,2011,99
BHR,2012,99
BHR,2013,99
BHR,2014,99
BHR,2015,98
BHR,2016,99
BHR,2017,97
BHR,2018,99
BHR,2019,99
BHR,2020,98
BHR,2021,98
BHR,2022,97
BHR,2023,99
BHR,2024,96
BHS,2000,99
BHS,2001,99
BHS,2002,94
BHS,2003,92
BHS,2004,93
BHS,2005,93
BHS,2006,95
BHS,2007,95
BHS,2008,93
BHS,2009,96
BHS,2010,99
BHS,2011,98
BHS,2012,98
BHS,2013,97
BHS,2014,96
BHS,2015,95
BHS,2016,94
BHS,2017,94
BHS,2018,90
BHS,2019,89
BHS,2020,83
BHS,2021,86
BHS,2022,87
BHS,2023,87
BHS,2024,90
BIH,2000,85
BIH,2001,91
BIH,2002,80
BIH,2003,87
BIH,2004,84
BIH,2005,93
BIH,2006,87
BIH,2007,95
BIH,2008,91
BIH,2009,90
BIH,2010,89
BIH,2011,88
BIH,2012,92
BIH,2013,89
BIH,2014,86
BIH,2015,82
BIH,2016,78
BIH,2017,75
BIH,2018,73
BIH,2019,80
BIH,2020,78
BIH,2021,76
BIH,2022,75
BIH,2023,73
BIH,2024,79
BLR,2000,99
BLR,2001,99
BLR,2002,99
BLR,2003,50
BLR,2004,99
BLR,2005,99
BLR,2006,99
BLR,2007,95
BLR,2008,97
BLR,2009,96
BLR,2010,98
BLR,2011,98
BLR,2012,98
BLR,2013,98
BLR,2014,97
BLR,2015,99
BLR,2016,98
BLR,2017,97
BLR,2018,97
BLR,2019,98
BLR,2020,97
BLR,2021,98
BLR,2022,98
BLR,2023,98
BLR,2024,98
BLZ,2000,91
BLZ,2001,96
BLZ,2002,89
BLZ,2003,96
BLZ,2004,97
BLZ,2005,96
BLZ,2006,98
BLZ,2007,96
BLZ,2008,94
BLZ,2009,97
BLZ,2010,96
BLZ,2011,95
BLZ,2012,98
BLZ,2013,95
BLZ,2014,95
BLZ,2015,94
BLZ,2016,95
BLZ,2017,88
BLZ,2018,96
BLZ,2019,98
BLZ,2020,79
BLZ,2021,83
BLZ,2022,84
BLZ,2023,85
BLZ,2024,88
BOL,2000,75
BOL,2001,71
BOL,2002,77
BOL,2003,88
BOL,2004,84
BOL,2005,85
BOL,2006,83
BOL,2007,84
BOL,2008,88
BOL,2009,93
BOL,2010,91
BOL,2011,95
BOL,2012,93
BOL,2013,86
BOL,2014,85
BOL,2015,89
BOL,2016,87
BOL,2017,84
BOL,2018,83
BOL,2019,75
BOL,2020,68
BOL,2021,70
BOL,2022,69
BOL,2023,67
BOL,2024,59
BRA,2000,98
BRA,2001,98
BRA,2002,99
BRA,2003,99
BRA,2004,99
BRA,2005,99
BRA,2006,99
BRA,2007,99
BRA,2008,99
BRA,2009,99
BRA,2010,99
BRA,2011,99
BRA,2012,95
BRA,2013,97
BRA,2014,93
BRA,2015,96
BRA,2016,89
BRA,2017,83
BRA,2018,87
BRA,2019,70
BRA,2020,77
BRA,2021,68
BRA,2022,77
BRA,2023,90
BRA,2024,91
BRB,2000,93
BRB,2001,84
BRB,2002,87
BRB,2003,89
BRB,2004,93
BRB,2005,92
BRB,2006,84
BRB,2007,93
BRB,2008,85
BRB,2009,93
BRB,2010,86
BRB,2011,91
BRB,2012,87
BRB,2013,91
BRB,2014,94
BRB,2015,97
BRB,2016,97
BRB,2017,90
BRB,2018,95
BRB,2019,90
BRB,2020,85
BRB,2021,82
BRB,2022,86
BRB,2023,85
BRB,2024,94
BRN,2000,99
BRN,2001,97
BRN,2002,94
BRN,2003,92
BRN,2004,92
BRN,2005,94
BRN,2006,97
BRN,2007,99
BRN,2008,98
BRN,2009,99
BRN,2010,95
BRN,2011,97
BRN,2012,95
BRN,2013,99
BRN,2014,99
BRN,2015,99
BRN,2016,99
BRN,2017,99
BRN,2018,99
BRN,2019,99
BRN,2020,99
BRN,2021,99
BRN,2022,99
BRN,2023,99
BRN,2024,99
BTN,2000,92
BTN,2001,88
BTN,2002,86
BTN,2003,95
BTN,2004,89
BTN,2005,95
BTN,2006,95
BTN,2007,95
BTN,2008,96
BTN,2009,93
BTN,2010,91
BTN,2011,95
BTN,2012,97
BTN,2013,97
BTN,2014,99
BTN,2015,99
BTN,2016,98
BTN,2017,98
BTN,2018,97
BTN,2019,97
BTN,2020,95
BTN,2021,98
BTN,2022,98
BTN,2023,99
BTN,2024,98
BWA,2000,97
BWA,2001,97
BWA,2002,97
BWA,2003,96
BWA,2004,96
BWA,2005,96
BWA,2006,96
BWA,2007,96
BWA,2008,96
BWA,2009,96
BWA,2010,95
BWA,2011,95
BWA,2012,95
BWA,2013,95
BWA,2014,95
BWA,2015,95
BWA,2016,95
BWA,2017,95
BWA,2018,95
BWA,2019,95
BWA,2020,95
BWA,2021,95
BWA,2022,86
BWA,2023,95
BWA,2024,95
CAF,2000,37
CAF,2001,40
CAF,2002,44
CAF,2003,47
CAF,2004,51
CAF,2005,54
CAF,2006,51
CAF,2007,48
CAF,2008,45
CAF,2009,42
CAF,2010,45
CAF,2011,47
CAF,2012,47
CAF,2013,23
CAF,2014,45
CAF,2015,43
CAF,2016,42
CAF,2017,42
CAF,2018,40
CAF,2019,38
CAF,2020,37
CAF,2021,35
CAF,2022,33
CAF,2023,40
CAF,2024,42
CAN,2000,89
CAN,2001,89
CAN,2002,88
CAN,2003,91
CAN,2004,91
CAN,2005,93
CAN,2006,95
CAN,2007,94
CAN,2008,92
CAN,2009,91
CAN,2010,89
CAN,2011,87
CAN,2012,91
CAN,2013,91
CAN,2014,91
CAN,2015,91
CAN,2016,91
CAN,2017,91
CAN,2018,91
CAN,2019,91
CAN,2020,92
CAN,2021,92
CAN,2022,92
CAN,2023,92
CAN,2024,92
CHE,2000,93
CHE,2001,93
CHE,2002,93
CHE,2003,93
CHE,2004,93
CHE,2005,94
CHE,2006,94
CHE,2007,94
CHE,2008,95
CHE,2009,95
CHE,2010,95
CHE,2011,96
CHE,2012,96
CHE,2013,96
CHE,2014,96
CHE,2015,96
CHE,2016,96
CHE,2017,96
CHE,2018,96
CHE,2019,96
CHE,2020,97
CHE,2021,96
CHE,2022,96
CHE,2023,95
CHE,2024,96
CHL,2000,91
CHL,2001,97
CHL,2002,97
CHL,2003,96
CHL,2004,93
CHL,2005,91
CHL,2006,94
CHL,2007,96
CHL,2008,95
CHL,2009,94
CHL,2010,92
CHL,2011,94
CHL,2012,90
CHL,2013,91
CHL,2014,95
CHL,2015,96
CHL,2016,95
CHL,2017,93
CHL,2018,95
CHL,2019,96
CHL,2020,93
CHL,2021,95
CHL,2022,96
CHL,2023,96
CHL,2024,95
CHN,2000,85
CHN,2001,86
CHN,2002,86
CHN,2003,86
CHN,2004,87
CHN,2005,87
CHN,2006,93
CHN,2007,93
CHN,2008,97
CHN,2009,99
CHN,2010,99
CHN,2011,99
CHN,2012,99
CHN,2013,99
CHN,2014,99
CHN,2015,99
CHN,2016,99
CHN,2017,99
CHN,2018,99
CHN,2019,99
CHN,2020,99
CHN,2021,99
CHN,2022,99
CHN,2023,96
CHN,2024,97
CIV,2000,65
CIV,2001,66
CIV,2002,65
CIV,2003,62
CIV,2004,68
CIV,2005,77
CIV,2006,77
CIV,2007,76
CIV,2008,74
CIV,2009,81
CIV,2010,78
CIV,2011,61
CIV,2012,82
CIV,2013,75
CIV,2014,73
CIV,2015,79
CIV,2016,87
CIV,2017,83
CIV,2018,83
CIV,2019,79
CIV,2020,72
CIV,2021,73
CIV,2022,73
CIV,2023,79
CIV,2024,77
CMR,2000,62
CMR,2001,63
CMR,2002,66
CMR,2003,73
CMR,2004,73
CMR,2005,80
CMR,2006,81
CMR,2007,82
CMR,2008,84
CMR,2009,80
CMR,2010,84
CMR,2011,81
CMR,2012,79
CMR,2013,76
CMR,2014,76
CMR,2015,76
CMR,2016,78
CMR,2017,74
CMR,2018,68
CMR,2019,67
CMR,2020,68
CMR,2021,71
CMR,2022,71
CMR,2023,75
CMR,2024,77
COD,2000,30
COD,2001,30
COD,2002,38
COD,2003,42
COD,2004,54
COD,2005,61
COD,2006,62
COD,2007,65
COD,2008,68
COD,2009,71
COD,2010,60
COD,2011,70
COD,2012,71
COD,2013,71
COD,2014,73
COD,2015,70
COD,2016,70
COD,2017,71
COD,2018,71
COD,2019,73
COD,2020,70
COD,2021,65
COD,2022,65
COD,2023,60
COD,2024,65
COG,2000,33
COG,2001,31
COG,2002,41
COG,2003,50
COG,2004,67
COG,2005,63
COG,2006,74
COG,2007,73
COG,2008,80
COG,2009,80
COG,2010,76
COG,2011,83
COG,2012,85
COG,2013,85
COG,2014,90
COG,2015,80
COG,2016,71
COG,2017,69
COG,2018,75
COG,2019,79
COG,2020,73
COG,2021,77
COG,2022,78
COG,2023,78
COG,2024,78
COK,2000,92
COK,2001,90
COK,2002,97
COK,2003,96
COK,2004,99
COK,2005,99
COK,2006,99
COK,2007,99
COK,2008,99
COK,2009,82
COK,2010,99
COK,2011,93
COK,2012,98
COK,2013,98
COK,2014,99
COK,2015,99
COK,2016,99
COK,2017,99
COK,2018,99
COK,2019,98
COK,2020,89
COK,2021,81
COK,2022,72
COK,2023,86
COK,2024,75
COL,2000,79
COL,2001,80
COL,2002,81
COL,2003,92
COL,2004,89
COL,2005,93
COL,2006,93
COL,2007,94
COL,2008,92
COL,2009,92
COL,2010,88
COL,2011,85
COL,2012,92
COL,2013,91
COL,2014,90
COL,2015,91
COL,2016,91
COL,2017,92
COL,2018,92
COL,2019,94
COL,2020,88
COL,2021,87
COL,2022,87
COL,2023,90
COL,2024,89
COM,2000,70
COM,2001,70
COM,2002,89
COM,2003,80
COM,2004,76
COM,2005,68
COM,2006,69
COM,2007,75
COM,2008,81
COM,2009,83
COM,2010,74
COM,2011,83
COM,2012,86
COM,2013,83
COM,2014,80
COM,2015,80
COM,2016,75
COM,2017,79
COM,2018,77
COM,2019,78
COM,2020,74
COM,2021,72
COM,2022,78
COM,2023,75
COM,2024,75
CPV,2000,90
CPV,2001,90
CPV,2002,91
CPV,2003,92
CPV,2004,93
CPV,2005,95
CPV,2006,96
CPV,2007,98
CPV,2008,99
CPV,2009,99
CPV,2010,99
CPV,2011,90
CPV,2012,94
CPV,2013,93
CPV,2014,95
CPV,2015,93
CPV,2016,96
CPV,2017,96
CPV,2018,98
CPV,2019,96
CPV,2020,93
CPV,2021,93
CPV,2022,93
CPV,2023,93
CPV,2024,93
CRI,2000,88
CRI,2001,91
CRI,2002,94
CRI,2003,88
CRI,2004,90
CRI,2005,91
CRI,2006,89
CRI,2007,89
CRI,2008,90
CRI,2009,86
CRI,2010,88
CRI,2011,85
CRI,2012,91
CRI,2013,95
CRI,2014,91
CRI,2015,92
CRI,2016,97
CRI,2017,96
CRI,2018,94
CRI,2019,95
CRI,2020,97
CRI,2021,93
CRI,2022,95
CRI,2023,99
CRI,2024,99
CUB,2000,95
CUB,2001,98
CUB,2002,99
CUB,2003,72
CUB,2004,88
CUB,2005,89
CUB,2006,89
CUB,2007,93
CUB,2008,95
CUB,2009,96
CUB,2010,96
CUB,2011,97
CUB,2012,99
CUB,2013,99
CUB,2014,99
CUB,2015,99
CUB,2016,99
CUB,2017,99
CUB,2018,99
CUB,2019,99
CUB,2020,99
CUB,2021,99
CUB,2022,99
CUB,2023,99
CUB,2024,99
CYP,2000,97
CYP,2001,97
CYP,2002,98
CYP,2003,98
CYP,2004,98
CYP,2005,98
CYP,2006,97
CYP,2007,97
CYP,2008,97
CYP,2009,99
CYP,2010,99
CYP,2011,99
CYP,2012,99
CYP,2013,99
CYP,2014,99
CYP,2015,97
CYP,2016,97
CYP,2017,97
CYP,2018,99
CYP,2019,96
CYP,2020,96
CYP,2021,96
CYP,2022,96
CYP,2023,95
CYP,2024,94
CZE,2000,98
CZE,2001,98
CZE,2002,98
CZE,2003,97
CZE,2004,98
CZE,2005,97
CZE,2006,98
CZE,2007,99
CZE,2008,99
CZE,2009,99
CZE,2010,99
CZE,2011,99
CZE,2012,99
CZE,2013,98
CZE,2014,97
CZE,2015,97
CZE,2016,96
CZE,2017,96
CZE,2018,97
CZE,2019,97
CZE,2020,97
CZE,2021,94
CZE,2022,94
CZE,2023,90
CZE,2024,86
DEU,2000,90
DEU,2001,93
DEU,2002,93
DEU,2003,97
DEU,2004,96
DEU,2005,96
DEU,2006,96
DEU,2007,96
DEU,2008,96
DEU,2009,96
DEU,2010,96
DEU,2011,95
DEU,2012,95
DEU,2013,93
DEU,2014,93
DEU,2015,93
DEU,2016,91
DEU,2017,91
DEU,2018,91
DEU,2019,91
DEU,2020,91
DEU,2021,92
DEU,2022,89
DEU,2023,89
DEU,2024,89
DJI,2000,46
DJI,2001,53
DJI,2002,62
DJI,2003,68
DJI,2004,64
DJI,2005,71
DJI,2006,72
DJI,2007,88
DJI,2008,89
DJI,2009,89
DJI,2010,88
DJI,2011,87
DJI,2012,81
DJI,2013,82
DJI,2014,78
DJI,2015,84
DJI,2016,68
DJI,2017,76
DJI,2018,84
DJI,2019,85
DJI,2020,70
DJI,2021,59
DJI,2022,59
DJI,2023,72
DJI,2024,77
DMA,2000,99
DMA,2001,99
DMA,2002,98
DMA,2003,99
DMA,2004,99
DMA,2005,98
DMA,2006,95
DMA,2007,96
DMA,2008,96
DMA,2009,99
DMA,2010,98
DMA,2011,98
DMA,2012,97
DMA,2013,97
DMA,2014,97
DMA,2015,98
DMA,2016,99
DMA,2017,91
DMA,2018,94
DMA,2019,99
DMA,2020,96
DMA,2021,92
DMA,2022,82
DMA,2023,56
DMA,2024,90
DNK,2000,97
DNK,2001,97
DNK,2002,98
DNK,2003,96
DNK,2004,95
DNK,2005,93
DNK,2006,93
DNK,2007,87
DNK,2008,88
DNK,2009,89
DNK,2010,90
DNK,2011,91
DNK,2012,94
DNK,2013,94
DNK,2014,94
DNK,2015,93
DNK,2016,94
DNK,2017,98
DNK,2018,97
DNK,2019,97
DNK,2020,97
DNK,2021,97
DNK,2022,97
DNK,2023,97
DNK,2024,96
DOM,2000,78
DOM,2001,72
DOM,2002,82
DOM,2003,79
DOM,2004,79
DOM,2005,87
DOM,2006,89
DOM,2007,85
DOM,2008,82
DOM,2009,82
DOM,2010,88
DOM,2011,84
DOM,2012,85
DOM,2013,83
DOM,2014,91
DOM,2015,85
DOM,2016,87
DOM,2017,84
DOM,2018,87
DOM,2019,89
DOM,2020,82
DOM,2021,84
DOM,2022,88
DOM,2023,90
DOM,2024,87
DZA,2000,86
DZA,2001,89
DZA,2002,86
DZA,2003,87
DZA,2004,86
DZA,2005,88
DZA,2006,95
DZA,2007,95
DZA,2008,93
DZA,2009,95
DZA,2010,95
DZA,2011,95
DZA,2012,95
DZA,2013,95
DZA,2014,95
DZA,2015,95
DZA,2016,91
DZA,2017,91
DZA,2018,91
DZA,2019,88
DZA,2020,84
DZA,2021,81
DZA,2022,77
DZA,2023,92
DZA,2024,92
ECU,2000,87
ECU,2001,89
ECU,2002,88
ECU,2003,87
ECU,2004,88
ECU,2005,92
ECU,2006,96
ECU,2007,96
ECU,2008,96
ECU,2009,94
ECU,2010,91
ECU,2011,88
ECU,2012,87
ECU,2013,87
ECU,2014,83
ECU,2015,78
ECU,2016,83
ECU,2017,85
ECU,2018,85
ECU,2019,85
ECU,2020,70
ECU,2021,72
ECU,2022,70
ECU,2023,70
ECU,2024,70
EGY,2000,98
EGY,2001,99
EGY,2002,97
EGY,2003,98
EGY,2004,97
EGY,2005,98
EGY,2006,98
EGY,2007,98
EGY,2008,97
EGY,2009,97
EGY,2010,97
EGY,2011,96
EGY,2012,93
EGY,2013,97
EGY,2014,94
EGY,2015,93
EGY,2016,95
EGY,2017,94
EGY,2018,95
EGY,2019,95
EGY,2020,94
EGY,2021,96
EGY,2022,97
EGY,2023,96
EGY,2024,97
ERI,2000,81
ERI,2001,86
ERI,2002,90
ERI,2003,93
ERI,2004,98
ERI,2005,96
ERI,2006,94
ERI,2007,95
ERI,2008,95
ERI,2009,95
ERI,2010,95
ERI,2011,94
ERI,2012,94
ERI,2013,94
ERI,2014,94
ERI,2015,95
ERI,2016,95
ERI,2017,95
ERI,2018,95
ERI,2019,95
ERI,2020,95
ERI,2021,95
ERI,2022,95
ERI,2023,95
ERI,2024,95
ESP,2000,95
ESP,2001,96
ESP,2002,98
ESP,2003,98
ESP,2004,97
ESP,2005,96
ESP,2006,98
ESP,2007,96
ESP,2008,97
ESP,2009,96
ESP,2010,97
ESP,2011,97
ESP,2012,96
ESP,2013,96
ESP,2014,97
ESP,2015,97
ESP,2016,97
ESP,2017,95
ESP,2018,96
ESP,2019,95
ESP,2020,94
ESP,2021,93
ESP,2022,95
ESP,2023,93
ESP,2024,94
EST,2000,93
EST,2001,94
EST,2002,94
EST,2003,94
EST,2004,94
EST,2005,96
EST,2006,95
EST,2007,95
EST,2008,95
EST,2009,95
EST,2010,94
EST,2011,93
EST,2012,94
EST,2013,94
EST,2014,93
EST,2015,93
EST,2016,93
EST,2017,93
EST,2018,92
EST,2019,91
EST,2020,91
EST,2021,90
EST,2022,87
EST,2023,84
EST,2024,81
ETH,2000,30
ETH,2001,32
ETH,2002,35
ETH,2003,37
ETH,2004,39
ETH,2005,43
ETH,2006,46
ETH,2007,50
ETH,2008,54
ETH,2009,58
ETH,2010,61
ETH,2011,65
ETH,2012,61
ETH,2013,59
ETH,2014,61
ETH,2015,62
ETH,2016,64
ETH,2017,65
ETH,2018,62
ETH,2019,61
ETH,2020,62
ETH,2021,63
ETH,2022,63
ETH,2023,70
ETH,2024,73
FIN,2000,99
FIN,2001,98
FIN,2002,98
FIN,2003,98
FIN,2004,98
FIN,2005,97
FIN,2006,97
FIN,2007,99
FIN,2008,99
FIN,2009,99
FIN,2010,99
FIN,2011,99
FIN,2012,99
FIN,2013,98
FIN,2014,98
FIN,2015,97
FIN,2016,92
FIN,2017,89
FIN,2018,91
FIN,2019,91
FIN,2020,89
FIN,2021,89
FIN,2022,91
FIN,2023,91
FIN,2024,91
FJI,2000,90
FJI,2001,91
FJI,2002,93
FJI,2003,94
FJI,2004,95
FJI,2005,96
FJI,2006,98
FJI,2007,99
FJI,2008,99
FJI,2009,99
FJI,2010,99
FJI,2011,99
FJI,2012,99
FJI,2013,99
FJI,2014,99
FJI,2015,99
FJI,2016,95
FJI,2017,91
FJI,2018,94
FJI,2019,97
FJI,2020,97
FJI,2021,98
FJI,2022,96
FJI,2023,97
FJI,2024,94
FRA,2000,97
FRA,2001,97
FRA,2002,97
FRA,2003,97
FRA,2004,98
FRA,2005,98
FRA,2006,99
FRA,2007,99
FRA,2008,99
FRA,2009,98
FRA,2010,99
FRA,2011,99
FRA,2012,99
FRA,2013,88
FRA,2014,92
FRA,2015,96
FRA,2016,95
FRA,2017,95
FRA,2018,95
FRA,2019,95
FRA,2020,96
FRA,2021,96
FRA,2022,96
FRA,2023,96
FRA,2024,96
FSM,2000,85
FSM,2001,75
FSM,2002,84
FSM,2003,92
FSM,2004,78
FSM,2005,94
FSM,2006,67
FSM,2007,79
FSM,2008,85
FSM,2009,91
FSM,2010,85
FSM,2011,84
FSM,2012,81
FSM,2013,81
FSM,2014,77
FSM,2015,72
FSM,2016,69
FSM,2017,73
FSM,2018,75
FSM,2019,78
FSM,2020,83
FSM,2021,72
FSM,2022,69
FSM,2023,79
FSM,2024,76
GAB,2000,45
GAB,2001,45
GAB,2002,45
GAB,2003,45
GAB,2004,45
GAB,2005,45
GAB,2006,45
GAB,2007,81
GAB,2008,82
GAB,2009,76
GAB,2010,67
GAB,2011,75
GAB,2012,82
GAB,2013,79
GAB,2014,70
GAB,2015,80
GAB,2016,75
GAB,2017,75
GAB,2018,70
GAB,2019,70
GAB,2020,63
GAB,2021,75
GAB,2022,60
GAB,2023,70
GAB,2024,61
GBR,2000,91
GBR,2001,91
GBR,2002,91
GBR,2003,91
GBR,2004,92
GBR,2005,91
GBR,2006,92
GBR,2007,92
GBR,2008,92
GBR,2009,93
GBR,2010,94
GBR,2011,95
GBR,2012,95
GBR,2013,95
GBR,2014,95
GBR,2015,95
GBR,2016,94
GBR,2017,94
GBR,2018,94
